graph,instance,algorithm,requests,robots,capacity,demand,num_instance,isBigTW,cost,time,distance,used_vehicles,used_max,used_min,used_mean,computational_time
mountain,3HR_6Q_100RQT_3q_bigTW_2,Heuristic,100,3,6,3,2,True,1590.0,1863.0,1580.0,1.0,1580.0,1580.0,1580.0,0.640251874923706
mountain,3HR_6Q_100RQT_3q_2,MILP,100,3,6,3,2,False,1582.0,1863.0,1562.0,2.0,802.0,760.0,781.0,2.86
mountain,3HR_6Q_100RQT_3q_2,Heuristic,100,3,6,3,2,False,1598.0,1863.0,1578.0,2.0,1046.0,532.0,789.0,0.5042738914489746
mountain,3HR_6Q_100RQT_3q_5,MILP,100,3,6,3,5,False,1690.0,1947.0,1660.0,3.0,772.0,222.0,553.3333333333334,2.79
mountain,3HR_6Q_100RQT_3q_5,Heuristic,100,3,6,3,5,False,1670.0,1947.0,1650.0,2.0,856.0,794.0,825.0,0.42729806900024414
mountain,6HR_6Q_50RQT_3q_bigTW_4,MILP,50,6,6,3,4,True,838.0,1001.0,828.0,1.0,828.0,828.0,828.0,7.81
mountain,6HR_6Q_50RQT_3q_bigTW_4,Heuristic,50,6,6,3,4,True,838.0,1001.0,828.0,1.0,828.0,828.0,828.0,0.1808171272277832
mountain,6HR_6Q_50RQT_2q_bigTW_4,MILP,50,6,6,2,4,True,836.0,1001.0,826.0,1.0,826.0,826.0,826.0,6.08
mountain,6HR_6Q_50RQT_2q_bigTW_4,Heuristic,50,6,6,2,4,True,834.0,1001.0,824.0,1.0,824.0,824.0,824.0,0.1886608600616455
mountain,3HR_6Q_100RQT_2q_bigTW_3,MILP,100,3,6,2,3,True,1610.0,1883.0,1600.0,1.0,1600.0,1600.0,1600.0,13.88
mountain,3HR_6Q_100RQT_2q_bigTW_3,Heuristic,100,3,6,2,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.6555569171905518
mountain,3HR_6Q_100RQT_3q_bigTW_3,MILP,100,3,6,3,3,True,1610.0,1883.0,1600.0,1.0,1600.0,1600.0,1600.0,14.4
mountain,3HR_6Q_100RQT_3q_bigTW_3,Heuristic,100,3,6,3,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.6125218868255615
mountain,6HR_6Q_50RQT_2q_bigTW_3,MILP,50,6,6,2,3,True,794.0,941.0,784.0,1.0,784.0,784.0,784.0,1.64
mountain,6HR_6Q_50RQT_2q_bigTW_3,Heuristic,50,6,6,2,3,True,794.0,941.0,784.0,1.0,784.0,784.0,784.0,0.18734002113342285
mountain,3HR_6Q_50RQT_3q_9,MILP,50,3,6,3,9,False,874.0,1011.0,854.0,2.0,428.0,426.0,427.0,1.13
mountain,3HR_6Q_50RQT_3q_9,Heuristic,50,3,6,3,9,False,888.0,1015.0,868.0,2.0,534.0,334.0,434.0,0.1276569366455078
mountain,6HR_6Q_50RQT_3q_bigTW_3,MILP,50,6,6,3,3,True,794.0,941.0,784.0,1.0,784.0,784.0,784.0,1.65
mountain,6HR_6Q_50RQT_3q_bigTW_3,Heuristic,50,6,6,3,3,True,794.0,941.0,784.0,1.0,784.0,784.0,784.0,0.18629097938537598
mountain,3HR_6Q_100RQT_3q_bigTW_4,MILP,100,3,6,3,4,True,1684.0,1961.0,1674.0,1.0,1674.0,1674.0,1674.0,13.41
mountain,3HR_6Q_100RQT_3q_bigTW_4,Heuristic,100,3,6,3,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,0.5869140625
mountain,3HR_6Q_100RQT_2q_bigTW_4,MILP,100,3,6,2,4,True,1684.0,1961.0,1674.0,1.0,1674.0,1674.0,1674.0,14.86
mountain,3HR_6Q_100RQT_2q_bigTW_4,Heuristic,100,3,6,2,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,0.5850629806518555
mountain,3HR_6Q_50RQT_3q_0,MILP,50,3,6,3,0,False,818.0,945.0,798.0,2.0,546.0,252.0,399.0,0.6
mountain,3HR_6Q_50RQT_3q_0,Heuristic,50,3,6,3,0,False,814.0,941.0,794.0,2.0,514.0,280.0,397.0,0.11993122100830078
mountain,9HR_6Q_100RQT_3q_bigTW_4,MILP,100,9,6,3,4,True,1690.0,1961.0,1680.0,1.0,1680.0,1680.0,1680.0,6.65
mountain,9HR_6Q_100RQT_3q_bigTW_4,Heuristic,100,9,6,3,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,0.6784670352935791
mountain,9HR_6Q_100RQT_2q_bigTW_4,MILP,100,9,6,2,4,True,1684.0,1961.0,1674.0,1.0,1674.0,1674.0,1674.0,19.29
mountain,9HR_6Q_100RQT_2q_bigTW_4,Heuristic,100,9,6,2,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,2.0212321281433105
mountain,9HR_6Q_100RQT_2q_bigTW_3,MILP,100,9,6,2,3,True,1610.0,1881.0,1600.0,1.0,1600.0,1600.0,1600.0,10.03
mountain,9HR_6Q_100RQT_2q_bigTW_3,Heuristic,100,9,6,2,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.7292330265045166
mountain,9HR_6Q_100RQT_3q_bigTW_3,MILP,100,9,6,3,3,True,1610.0,1883.0,1600.0,1.0,1600.0,1600.0,1600.0,7.19
mountain,9HR_6Q_100RQT_3q_bigTW_3,Heuristic,100,9,6,3,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.7083792686462402
mountain,3HR_6Q_50RQT_3q_7,MILP,50,3,6,3,7,False,916.0,1051.0,896.0,2.0,540.0,356.0,448.0,1.23
mountain,3HR_6Q_50RQT_3q_7,Heuristic,50,3,6,3,7,False,932.0,1051.0,912.0,2.0,548.0,364.0,456.0,0.12525415420532227
mountain,3HR_6Q_100RQT_2q_2,MILP,100,3,6,2,2,False,1580.0,1863.0,1560.0,2.0,836.0,724.0,780.0,2.86
mountain,3HR_6Q_100RQT_2q_2,Heuristic,100,3,6,2,2,False,1598.0,1863.0,1578.0,2.0,1046.0,532.0,789.0,0.507749080657959
mountain,3HR_6Q_100RQT_2q_5,MILP,100,3,6,2,5,False,1690.0,1947.0,1660.0,3.0,750.0,222.0,553.3333333333334,2.73
mountain,3HR_6Q_100RQT_2q_5,Heuristic,100,3,6,2,5,False,1670.0,1947.0,1650.0,2.0,856.0,794.0,825.0,0.48561906814575195
mountain,3HR_6Q_50RQT_2q_9,MILP,50,3,6,2,9,False,874.0,1011.0,854.0,2.0,428.0,426.0,427.0,1.19
mountain,3HR_6Q_50RQT_2q_9,Heuristic,50,3,6,2,9,False,888.0,1015.0,868.0,2.0,534.0,334.0,434.0,0.13126778602600098
mountain,3HR_6Q_50RQT_2q_0,MILP,50,3,6,2,0,False,818.0,945.0,798.0,2.0,546.0,252.0,399.0,0.61
mountain,3HR_6Q_50RQT_2q_0,Heuristic,50,3,6,2,0,False,814.0,941.0,794.0,2.0,514.0,280.0,397.0,0.12941479682922363
mountain,3HR_6Q_50RQT_2q_7,MILP,50,3,6,2,7,False,916.0,1051.0,896.0,2.0,540.0,356.0,448.0,1.22
mountain,3HR_6Q_50RQT_2q_7,Heuristic,50,3,6,2,7,False,932.0,1051.0,912.0,2.0,548.0,364.0,456.0,0.13292598724365234
mountain,3HR_6Q_100RQT_2q_4,MILP,100,3,6,2,4,False,1626.0,1965.0,1606.0,2.0,832.0,774.0,803.0,2.92
mountain,3HR_6Q_100RQT_2q_4,Heuristic,100,3,6,2,4,False,1638.0,1965.0,1618.0,2.0,1168.0,450.0,809.0,0.4711151123046875
mountain,3HR_6Q_100RQT_2q_3,MILP,100,3,6,2,3,False,1586.0,1885.0,1556.0,3.0,798.0,142.0,518.6666666666666,2.8
mountain,3HR_6Q_100RQT_2q_3,Heuristic,100,3,6,2,3,False,1588.0,1887.0,1568.0,2.0,956.0,612.0,784.0,0.4906919002532959
mountain,3HR_6Q_50RQT_2q_6,MILP,50,3,6,2,6,False,802.0,939.0,782.0,2.0,418.0,364.0,391.0,0.6
mountain,3HR_6Q_50RQT_2q_6,Heuristic,50,3,6,2,6,False,804.0,939.0,784.0,2.0,536.0,248.0,392.0,0.14428114891052246
mountain,3HR_6Q_50RQT_2q_1,MILP,50,3,6,2,1,False,820.0,959.0,790.0,3.0,488.0,112.0,263.3333333333333,0.61
mountain,3HR_6Q_50RQT_2q_1,Heuristic,50,3,6,2,1,False,812.0,959.0,792.0,2.0,434.0,358.0,396.0,0.13068389892578125
mountain,3HR_6Q_50RQT_2q_8,MILP,50,3,6,2,8,False,840.0,977.0,810.0,3.0,444.0,134.0,270.0,1.22
mountain,3HR_6Q_50RQT_2q_8,Heuristic,50,3,6,2,8,False,840.0,977.0,820.0,2.0,534.0,286.0,410.0,0.1341238021850586
mountain,6HR_6Q_100RQT_3q_bigTW_4,MILP,100,6,6,3,4,True,1690.0,1961.0,1680.0,1.0,1680.0,1680.0,1680.0,15.47
mountain,6HR_6Q_100RQT_3q_bigTW_4,Heuristic,100,6,6,3,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,0.6342568397521973
mountain,6HR_6Q_100RQT_2q_bigTW_4,MILP,100,6,6,2,4,True,1684.0,1961.0,1674.0,1.0,1674.0,1674.0,1674.0,15.38
mountain,6HR_6Q_100RQT_2q_bigTW_4,Heuristic,100,6,6,2,4,True,1682.0,1961.0,1672.0,1.0,1672.0,1672.0,1672.0,0.6391198635101318
mountain,3HR_6Q_50RQT_2q_bigTW_1,MILP,50,3,6,2,1,True,802.0,951.0,792.0,1.0,792.0,792.0,792.0,1.11
mountain,3HR_6Q_50RQT_2q_bigTW_1,Heuristic,50,3,6,2,1,True,804.0,951.0,794.0,1.0,794.0,794.0,794.0,0.1735379695892334
mountain,3HR_6Q_50RQT_3q_bigTW_1,MILP,50,3,6,3,1,True,802.0,951.0,792.0,1.0,792.0,792.0,792.0,1.9
mountain,3HR_6Q_50RQT_3q_bigTW_1,Heuristic,50,3,6,3,1,True,804.0,951.0,794.0,1.0,794.0,794.0,794.0,0.17488789558410645
mountain,6HR_6Q_100RQT_2q_4,MILP,100,6,6,2,4,False,1626.0,1965.0,1606.0,2.0,832.0,774.0,803.0,3.22
mountain,6HR_6Q_100RQT_2q_4,Heuristic,100,6,6,2,4,False,1638.0,1965.0,1618.0,2.0,1168.0,450.0,809.0,0.5205879211425781
mountain,6HR_6Q_100RQT_2q_bigTW_3,MILP,100,6,6,2,3,True,1610.0,1883.0,1600.0,1.0,1600.0,1600.0,1600.0,16.35
mountain,6HR_6Q_100RQT_2q_bigTW_3,Heuristic,100,6,6,2,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.6875951290130615
mountain,6HR_6Q_100RQT_3q_bigTW_3,MILP,100,6,6,3,3,True,1610.0,1883.0,1600.0,1.0,1600.0,1600.0,1600.0,16.06
mountain,6HR_6Q_100RQT_3q_bigTW_3,Heuristic,100,6,6,3,3,True,1604.0,1883.0,1594.0,1.0,1594.0,1594.0,1594.0,0.6813249588012695
mountain,6HR_6Q_100RQT_2q_3,MILP,100,6,6,2,3,False,1598.0,1887.0,1568.0,3.0,778.0,90.0,522.6666666666666,3.23
mountain,6HR_6Q_100RQT_2q_3,Heuristic,100,6,6,2,3,False,1582.0,1887.0,1562.0,2.0,928.0,634.0,781.0,5.992779016494751
mountain,3HR_6Q_50RQT_3q_bigTW_6,MILP,50,3,6,3,6,True,778.0,931.0,768.0,1.0,768.0,768.0,768.0,1.39
mountain,3HR_6Q_50RQT_3q_bigTW_6,Heuristic,50,3,6,3,6,True,778.0,931.0,768.0,1.0,768.0,768.0,768.0,0.1772310733795166
mountain,3HR_6Q_50RQT_2q_bigTW_6,MILP,50,3,6,2,6,True,778.0,931.0,768.0,1.0,768.0,768.0,768.0,1.22
mountain,3HR_6Q_50RQT_2q_bigTW_6,Heuristic,50,3,6,2,6,True,774.0,931.0,764.0,1.0,764.0,764.0,764.0,0.18329405784606934
mountain,6HR_6Q_50RQT_2q_5,MILP,50,6,6,2,5,False,832.0,981.0,812.0,2.0,414.0,398.0,406.0,1.5
mountain,6HR_6Q_50RQT_2q_5,Heuristic,50,6,6,2,5,False,840.0,985.0,820.0,2.0,600.0,220.0,410.0,0.15648293495178223
mountain,3HR_6Q_50RQT_2q_bigTW_8,MILP,50,3,6,2,8,True,842.0,979.0,832.0,1.0,832.0,832.0,832.0,6.16
mountain,3HR_6Q_50RQT_2q_bigTW_8,Heuristic,50,3,6,2,8,True,832.0,979.0,822.0,1.0,822.0,822.0,822.0,0.16447997093200684
mountain,3HR_6Q_50RQT_3q_bigTW_8,MILP,50,3,6,3,8,True,842.0,979.0,832.0,1.0,832.0,832.0,832.0,6.02
mountain,3HR_6Q_50RQT_3q_bigTW_8,Heuristic,50,3,6,3,8,True,832.0,979.0,822.0,1.0,822.0,822.0,822.0,0.16324496269226074
mountain,6HR_6Q_50RQT_2q_2,MILP,50,6,6,2,2,False,800.0,927.0,780.0,2.0,458.0,322.0,390.0,0.9
mountain,6HR_6Q_50RQT_2q_2,Heuristic,50,6,6,2,2,False,802.0,927.0,782.0,2.0,512.0,270.0,391.0,0.15101313591003418
mountain,9HR_6Q_50RQT_2q_4,MILP,50,9,6,2,4,False,880.0,997.0,860.0,2.0,628.0,232.0,430.0,1.53
mountain,9HR_6Q_50RQT_2q_4,Heuristic,50,9,6,2,4,False,880.0,993.0,860.0,2.0,628.0,232.0,430.0,0.16899681091308594
mountain,9HR_6Q_100RQT_3q_5,MILP,100,9,6,3,5,False,1688.0,1951.0,1668.0,2.0,1122.0,546.0,834.0,3.67
mountain,9HR_6Q_100RQT_3q_5,Heuristic,100,9,6,3,5,False,1692.0,1951.0,1672.0,2.0,1260.0,412.0,836.0,0.5544610023498535
mountain,9HR_6Q_100RQT_3q_2,MILP,100,9,6,3,2,False,1588.0,1863.0,1568.0,2.0,826.0,742.0,784.0,3.63
mountain,9HR_6Q_100RQT_3q_2,Heuristic,100,9,6,3,2,False,1566.0,1869.0,1546.0,2.0,1032.0,514.0,773.0,0.5681238174438477
mountain,9HR_6Q_50RQT_2q_3,MILP,50,9,6,2,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,1.15
mountain,9HR_6Q_50RQT_2q_3,Heuristic,50,9,6,2,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,0.17567110061645508
